Біграма;Частота
юж;8.881581868941405e-06
 м;0.005806580857427914
мн;0.0015819084151014523
ок;0.0015592110392141575
кр;0.0014516452143569785
ат;0.004327304055034229
тн;0.0010934214123096751
 э;0.0029023035862840744
эк;4.144738205505989e-05
из;0.0016085531607082765
зи;0.0003493422201783619
ир;0.0008072371076437854
ва;0.005661515020235204
не;0.01009539805769673
з ;0.0012019740795967367
та;0.005669409759674263
вл;0.0005190791181181309
сц;5.131580635388367e-05
це;0.0007401318224117837
он;0.006554607419278756
се;0.0043736856492387005
ей;0.002115790169667819
нь;0.001197039867447325
чи;0.0015375005057567453
ит;0.004206909278588578
ае;0.0011812503885692068
тс;0.0010717108788522627
ся;0.003566448541594915
я ;0.011481911671681472
дн;0.001807895331544517
ды;0.00042631592970918743
ых;0.0007835528893266083
ха;0.0004055922386816575
ии;0.000534868596996249
ча;0.002509540299190888
ас;0.004648027844746001
пе;0.0028302640889026607
рв;0.0003611843293369504
ая;0.0019421059020085204
 в;0.016790137102018782
вт;0.00021513164971435846
тр;0.0030009878292723124
ья;0.0006187502035362512
пя;0.0005743422941915441
ят;0.001656908439772513
 ш;0.0005654607123226028
ше;0.0021207243818172307
эп;4.934212149411891e-06
пи;0.0007894739439059026
ил;0.004851317385301771
г ;0.0010381582362362619
в ;0.005631909747338733
ач;0.0009148029325009646
ию;0.00030098694111412537
юл;6.907897009176648e-06
ля;0.0012375004070725023
чр;8.388160654000215e-05
ез;0.0011812503885692068
зв;0.0008615134412873162
вы;0.0026842114092800688
ыч;0.0001717105827995338
ай;0.0008861845020343757
йн;0.00034440800802895
жа;0.0012138161887553253
ар;0.0017023031915471025
рк;0.00019539480111671089
ое;0.001688487397528749
вр;0.0005003291119503657
мя;0.00033947379587953813
д ;0.000863487126147081
еч;0.001176316176419795
р ;0.0007351976102623718
ди;0.00231118497078453
ин;0.003018750993010195
мо;0.003665132784583153
ол;0.005766120317802736
ой;0.002812500925164778
к ;0.00479704105165824
ыш;0.00045098699045624687
л ;0.006951318076091472
ки;0.001964803277895815
ру;0.0025312508326483
ую;0.0007203949738141362
ю ;0.0029733562412356056
им;0.00247302712928524
т ;0.005845067712193327
жи;0.001252303043520738
ьц;6.414475794235459e-05
цо;0.00019144743139718138
см;0.0011042766790383813
еу;0.00015592110392141577
ул;0.0014595399537960375
лк;0.000263486928778595
ке;0.0003759869657851861
 у;0.004579935717084117
ли;0.005337830703233784
иц;0.0008121713197931973
цу;0.00018256584952823998
у ;0.006821054875346999
ме;0.003902961810184806
ед;0.0026832245668501863
дл;0.0005723686093317793
 б;0.006859541730112411
бы;0.0036947380574796243
еш;0.0010154608603489671
ши;0.0013480267592193287
тп;6.80921276618841e-05
ви;0.0031391457694558453
лс;0.0014259873111800365
кн;0.0005654607123226028
ну;0.0027878298644177187
бл;0.0006986844403567238
аг;0.0006434212642833107
оп;0.0014151320444513304
лу;0.0014615136386558023
уч;0.000790460786335785
чн;0.0008319081683908449
зб;0.00011546056429623826
бе;0.0021197375393873486
ег;0.0032851984490784372
гн;0.00027631588036706594
вс;0.0036167775055189165
с ;0.0037381591243944487
ею;0.00022993428616259413
 х;0.0015532899846348635
хо;0.0022421060006927633
оз;0.0009029608233423761
зя;0.0004223685599896579
яй;8.980266111929643e-05
йк;0.00013322372803412108
 е;0.00412894872662787
ри;0.0052095411873490744
их;0.0016717110762207487
сь;0.003074014169083608
са;0.0016845400278092198
ою;0.0005763159790513089
ыс;0.0006325659975546044
со;0.002710856154886893
иэ;9.868424298823782e-07
эт;0.002744408797502894
аж;0.0016144742152875708
жн;0.0007055923373659004
ох;0.0004657896269044825
ее;0.0017368426765929858
шк;0.0004500001480263645
аф;5.032896392400129e-05
ф ;1.677632130800043e-05
кв;0.00024177639532118266
рн;0.0006394738945637811
ку;0.0011832240734289715
ис;0.0018957243078040486
сл;0.002658553506103127
уг;0.0014398031051983898
ещ;0.0009424345205376713
ща;0.0003621711717668328
иж;0.00021019743756494656
тд;8.388160654000215e-05
жд;0.000701644967646371
му;0.002126645436396525
еп;0.0011881582855783833
ад;0.0018246716528525174
ыл;0.00188388219864546
ми;0.0026259877059170086
ух;0.00038782907494377467
хн;0.00015197373420188626
гд;0.001103289836608499
еж;0.0007884871014760202
жь;4.934212149411891e-05
дя;0.00042730277213906976
чу;0.0006700660098901348
ув;0.0006513160037223696
зн;0.0017674347919193394
ус;0.0010085529633397906
ощ;0.00022598691644306463
щу;0.0001490132069122391
ущ;0.00027631588036706594
ще;0.0013549346562285053
ты;0.0013875004564146238
ыд;0.0001578947887811805
рщ;1.2828951588470917e-05
щи;0.00052697385755719
лж;0.0003069079956934196
оя;0.0006128291489569569
ял;0.0008171055319426091
ьс;0.0008595397564275514
б ;0.0004391448812976583
 з;0.004425001455592584
аб;0.0004934212149411892
би;0.0007924344711955498
ап;0.000753947616430137
зд;0.0006878291736280176
др;0.0018532900833191064
ря;0.000965131896424966
яж;9.868424298823783e-05
ян;0.0005861844033501327
ож;0.0020842112119115828
ип;0.00021118427999482895
нд;0.0002802632500865954
уб;0.0007223686586739008
еб;0.0013233556984722692
бя;0.000607894936807545
уе;0.0001855263768178871
ех;0.0005190791181181309
х ;0.002721711421615599
як;0.0001667763706501219
ьк;0.0012858556861367388
ью;0.0003177632624221258
сн;0.0008782897625953166
тя;0.00039177644466330415
яг;6.217107308258982e-05
су;0.0006917765433475471
щн;4.8355279064236536e-05
ои;0.0006177633611063688
ик;0.0023180928677937066
шл;0.0005220396454077781
уш;0.0005703949244720147
ша;0.0008930923990435523
ий;0.0009453950478273184
вз;0.0005378291242858961
ия;0.0010934214123096751
гр;0.0005121712211089543
зы;0.00025756587419930075
ня;0.001787171640516987
лг;0.0001322368856042387
га;0.0009917766420317901
уж;0.0017565795251906333
ж ;0.0007144739192348419
чш;0.0001401316250432977
ск;0.0034796064077652657
ьз;0.0001450658371927096
ут;0.0015651320937934518
иб;0.0006552633734418992
бу;0.0012779609466976797
уд;0.001959869065746403
дь;0.001061842454553439
ош;0.0009898029571720254
ид;0.0016944084521080434
вп;0.0003799343355047156
ах;0.0009148029325009646
рш;0.00021809217700400558
си;0.0013944083534238004
пу;0.0007529607740002546
юс;0.00021217112242471133
ду;0.0019638164354659326
ум;0.001573026833232511
лы;0.0005980265125087212
ыб;0.00014802636448235673
бк;0.00013519741289388582
гм;3.848685476541275e-05
ук;0.0006384870521338987
нс;0.00024769744990047696
 а;0.0025342113599379473
кс;0.00023092112859247652
ио;0.00019440795868682853
пы;0.00021710533457412322
ыт;0.000738158137552019
юд;0.00028618430466588967
ьш;0.00029407904410494874
бс;0.00019539480111671089
 я;0.0026388166575054793
иш;0.0006236844156856631
лт;0.00011644740672612063
аю;0.0008536187018482571
тт;7.993423682047264e-05
ич;0.0014990136509913327
уй;0.00022105270429365273
яц;6.907897009176648e-05
ц ;0.0003513159050381267
ыу;1.9736848597647565e-06
 ц;0.0002911185168153016
тк;0.00033750011101977336
ца;0.0005092106938193072
хе;0.0003177632624221258
рь;0.0009552634721261421
сп;0.0016973689793976906
ье;0.00043717119643789355
 ф;0.00039967118410236317
фа;0.00022105270429365273
нт;0.00037302643849553897
шу;0.00019736848597647565
иг;0.00052697385755719
аш;0.0008842108171746109
шн;0.0003967106568127161
рп;9.868424298823783e-05
ч ;0.00045986857232518827
яя;8.58552913997669e-05
рб;0.00010953950971694398
ур;0.0004144738205505989
рж;0.00023388165588212364
жц;9.868424298823782e-07
ющ;0.0001628290009305924
зм;0.00018848690410753425
зо;0.00048750016036189486
яс;0.0006621712704510758
сс;0.0006088817792374274
 ю;4.3421066914824643e-05
юн;3.848685476541275e-05
ры;0.0008101976349334326
пь;0.00015296057663176862
па;0.0007914476287656674
вш;0.0006207238883960159
йш;0.0001855263768178871
рз;5.131580635388367e-05
зе;0.00017368426765929857
нк;0.00025065797719012406
ш ;6.0197388222825076e-05
ср;0.00015098689177200388
мч;4.934212149411891e-05
зр;0.00023388165588212364
дк;0.00021809217700400558
рм;0.00028322377737624257
чк;0.0005092106938193072
йч;0.0001855263768178871
ют;0.0003503290626082443
ху;0.00014605267962259199
хм;6.710528523200172e-05
ях;0.0001578947887811805
тю;7.993423682047264e-05
юм;4.736843663435416e-05
еи;9.671055812847307e-05
ву;0.0005832238760604856
рг;0.00015197373420188626
гс;2.0723691027529945e-05
бщ;0.0001638158433604748
бь;0.00018453953438800474
фи;0.00029309220167506635
гу;0.0004480264631665997
зл;0.00023388165588212364
бн;0.0002536185044797712
 щ;6.611844280211935e-05
тл;0.00019835532840635804
ев;0.00107467140614191
ищ;0.00012828951588470918
оо;0.00021907901943388796
вд;0.0008437502775494334
зж;4.6381594204471775e-05
эй;1.2828951588470917e-05
ец;0.0003276316867209496
цк;1.776316373788281e-05
яп;4.934212149411891e-05
пн;9.572371569859069e-05
ао;1.2828951588470917e-05
рл;6.611844280211935e-05
ыв;0.0007628291982990784
сх;0.00018453953438800474
хв;0.00018750006167765187
ци;0.00011842109158588538
мм;2.4671060747059457e-05
ыж;2.26973758872947e-05
ыр;0.00019638164354659327
эд;5.92105457929427e-06
чь;0.00024177639532118266
ям;0.0003217106321416553
фу;0.00010657898242729686
жк;0.00010065792784800258
рс;0.00011447372186635588
дт;0.0002733553530774188
мь;7.894739439059026e-05
дц;0.00026546061363835977
сч;0.0003671053839162447
дд;3.7500012335530374e-05
ги;0.0005082238513894248
ык;0.00014802636448235673
дп;8.19079216802374e-05
лн;0.00024769744990047696
ео;0.00022500007401318224
вю;9.868424298823782e-07
мц;8.881581868941405e-06
вх;5.921054579294269e-05
ящ;0.00011940793401576777
шм;1.184210915858854e-05
ыг;0.00010953950971694398
дв;0.000895066083903317
уз;0.00022006586186377035
зк;0.00011052635214682637
зу;0.0006098686216673097
вк;0.00010855266728706161
нр;5.328949121364843e-05
зг;0.00034243432316918523
яд;0.00048651331793201247
йс;0.0004312501418585993
йт;0.0004677633117642473
лд;2.0723691027529945e-05
ын;0.00016578952822023956
ьщ;2.763158803670659e-05
хи;0.0005220396454077781
шо;0.00017565795251906334
сд;0.00020328954055576993
ьч;8.388160654000215e-05
дс;0.0002674342984981245
дш;6.710528523200172e-05
жу;0.00026151324391883023
лч;0.00021118427999482895
сы;0.00019835532840635804
рч;7.203949738141361e-05
фл;7.894739439059026e-06
ац;4.144738205505989e-05
хт;5.131580635388367e-05
кл;0.0005082238513894248
ню;0.00020921059513506418
ба;0.0006128291489569569
юш;6.217107308258982e-05
тч;0.0003246711594313024
йд;0.0002733553530774188
яр;7.006581252164885e-05
нц;0.0001450658371927096
вя;0.00018651321924776948
фо;0.00010361845513764972
уа;2.763158803670659e-05
мк;7.203949738141361e-05
пт;7.006581252164885e-05
мп;3.7500012335530374e-05
тц;6.118423065270745e-05
оц;8.388160654000215e-05
щь;3.848685476541275e-05
шь;0.0006226975732557807
ьт;0.0002625000863487126
юв;2.960527289647135e-06
ьг;0.00012828951588470918
юч;9.769740055835544e-05
рх;6.0197388222825076e-05
яз;0.0001993421708362404
бч;1.9736848597647564e-05
цы;0.0001578947887811805
юю;3.6513169905647996e-05
мт;0.00016184215850071002
зь;0.00014210530990306248
ащ;0.00023980271046141792
ыя;2.960527289647135e-06
ып;0.00010559213999741447
пк;7.598686710094313e-05
ьф;1.2828951588470917e-05
дч;5.4276333643530806e-05
щ ;4.934212149411891e-06
ун;0.0005200659605480133
лл;4.6381594204471775e-05
яч;0.00014703952205247437
лп;5.723686093317794e-05
вм;0.00010263161270776734
мр;6.414475794235459e-05
яи;1.4802636448235673e-05
рц;1.677632130800043e-05
хл;0.00013914478261341532
ьм;0.00033947379587953813
зш;8.881581868941405e-06
ьд;1.8750006167765187e-05
кш;1.184210915858854e-05
хш;1.4802636448235673e-05
зз;3.256580018611848e-05
фр;7.69737095308255e-05
зп;1.3815794018353296e-05
ьи;0.00011447372186635588
мг;7.69737095308255e-05
жо;1.677632130800043e-05
ьб;7.105265495153124e-05
лб;2.5657903176941834e-05
нч;0.00018947374653741664
аи;0.00011250003700659112
сб;8.782897625953167e-05
хр;7.796055196070789e-05
яе;7.796055196070789e-05
яю;9.177634597906118e-05
пш;6.907897009176648e-06
гт;1.0855266728706161e-05
бх;4.6381594204471775e-05
дх;4.53947517745894e-05
йм;4.2434224484942266e-05
ау;6.315791551247221e-05
нг;2.5657903176941834e-05
яв;0.00023980271046141792
фы;2.1710533457412322e-05
шт;4.2434224484942266e-05
оф;0.00017565795251906334
бм;4.2434224484942266e-05
ыз;4.736843663435416e-05
бц;9.868424298823782e-07
бв;4.8355279064236536e-05
ея;0.00021513164971435846
фе;4.736843663435416e-05
пп;3.355264261600086e-05
хз;7.894739439059026e-06
мс;0.00010263161270776734
чл;1.2828951588470917e-05
юи;2.960527289647135e-06
дю;1.0855266728706161e-05
сш;7.302633981129599e-05
нщ;8.388160654000215e-05
лв;1.3815794018353296e-05
фь;0.00010559213999741447
мб;1.184210915858854e-05
гч;3.453948504588324e-05
оу;8.980266111929643e-05
жб;2.368421831717708e-05
тш;9.868424298823782e-06
цм;2.960527289647135e-06
рю;0.00020032901326612278
сг;2.9605272896471346e-05
п ;3.6513169905647996e-05
хс;2.1710533457412322e-05
чо;7.894739439059026e-05
гк;4.8355279064236536e-05
йб;1.9736848597647564e-05
дб;2.763158803670659e-05
фс;1.9736848597647565e-06
дщ;1.9736848597647565e-06
уц;4.934212149411891e-06
км;3.947369719529513e-06
сж;2.368421831717708e-05
тх;1.3815794018353296e-05
лз;4.934212149411891e-06
яш;1.0855266728706161e-05
нв;1.0855266728706161e-05
вч;0.00019144743139718138
э ;1.0855266728706161e-05
юй;9.868424298823782e-07
ьо;4.934212149411891e-06
рй;9.868424298823782e-07
вг;1.4802636448235673e-05
пц;8.881581868941405e-06
йл;0.00020921059513506418
рф;0.00028717114709577205
зт;8.881581868941405e-06
зч;1.8750006167765187e-05
нз;1.2828951588470917e-05
жл;1.776316373788281e-05
тщ;2.5657903176941834e-05
ыи;5.92105457929427e-06
юр;5.2302648783766045e-05
жм;3.947369719529513e-06
пч;1.9736848597647564e-05
ьх;0.00012631583102494441
вй;2.960527289647135e-06
уя;5.625001850329556e-05
тг;9.868424298823782e-06
цв;2.5657903176941834e-05
тм;2.5657903176941834e-05
мф;1.0855266728706161e-05
гг;9.868424298823782e-07
тз;1.0855266728706161e-05
уи;6.907897009176648e-06
жр;4.934212149411891e-06
мд;2.960527289647135e-06
ьв;3.453948504588324e-05
дм;7.105265495153124e-05
сз;9.868424298823782e-06
жс;6.907897009176648e-06
эх;4.3421066914824643e-05
ээ;1.2828951588470917e-05
вв;2.861843046658897e-05
юх;5.92105457929427e-06
рр;2.0723691027529945e-05
лф;1.9736848597647565e-06
зю;1.9736848597647565e-06
жж;1.0855266728706161e-05
иф;1.3815794018353296e-05
фм;3.947369719529513e-06
юк;1.3815794018353296e-05
дж;1.9736848597647564e-05
вц;1.5789478878118052e-05
йц;3.0592115326353727e-05
нй;9.868424298823782e-07
бд;1.9736848597647564e-05
оа;5.92105457929427e-06
лщ;9.868424298823782e-07
кк;1.0855266728706161e-05
уу;1.9736848597647565e-06
гв;5.92105457929427e-06
лм;9.868424298823782e-06
щр;2.960527289647135e-06
фт;1.2828951588470917e-05
мш;5.92105457929427e-06
аа;2.9605272896471346e-05
чч;9.868424298823782e-07
ыц;9.868424298823782e-07
цт;8.881581868941405e-06
дз;1.3815794018353296e-05
зс;1.2828951588470917e-05
тэ;9.868424298823782e-06
эн;2.368421831717708e-05
кц;4.934212149411891e-06
йф;1.9736848597647565e-06
кп;9.868424298823782e-07
вб;1.9736848597647565e-06
хэ;1.9736848597647565e-06
дг;7.894739439059026e-06
кй;9.868424298823782e-07
уф;1.3815794018353296e-05
шв;5.92105457929427e-06
уо;3.947369719529513e-06
бж;3.947369719529513e-06
эл;4.934212149411891e-06
эм;1.9736848597647565e-06
нф;3.453948504588324e-05
эв;3.947369719529513e-06
жг;3.947369719529513e-06
ыщ;6.907897009176648e-06
юз;5.92105457929427e-06
яб;7.894739439059026e-06
пс;2.9605272896471346e-05
еф;8.881581868941405e-06
еа;8.881581868941405e-06
фф;1.0855266728706161e-05
нб;9.868424298823782e-06
бш;1.0855266728706161e-05
вщ;9.868424298823782e-07
хк;9.868424298823782e-07
тб;7.894739439059026e-06
бт;3.947369719529513e-06
бб;9.868424298823782e-07
кх;3.453948504588324e-05
кз;1.0855266728706161e-05
гж;4.934212149411891e-06
сф;2.960527289647135e-06
мэ;9.868424298823782e-07
нш;3.947369719529513e-06
эс;6.907897009176648e-06
нж;1.9736848597647565e-06
эф;8.881581868941405e-06
нх;3.947369719529513e-06
эг;5.92105457929427e-06
сщ;9.868424298823782e-07
иу;8.881581868941405e-06
мю;3.947369719529513e-06
оэ;9.868424298823782e-07
аэ;2.960527289647135e-06
жт;9.868424298823782e-07
 й;9.868424298823782e-07
бю;7.894739439059026e-06
фк;1.9736848597647565e-06
йо;1.9736848597647565e-06
йа;1.9736848597647565e-06
жч;3.947369719529513e-06
юг;9.868424298823782e-07
кд;1.9736848597647565e-06
фп;9.868424298823782e-07
кж;3.947369719529513e-06
йг;9.868424298823782e-07
фч;9.868424298823782e-07
чм;9.868424298823782e-07
йщ;9.868424298823782e-07
фш;9.868424298823782e-07
уэ;9.868424298823782e-07
эр;9.868424298823782e-07
 ь;9.868424298823782e-07
йз;1.9736848597647565e-06
гз;9.868424298823782e-07
гш;9.868424298823782e-07
мв;9.868424298823782e-07
ьл;9.868424298823782e-07
чв;9.868424298823782e-07
ыо;9.868424298823782e-07
яф;9.868424298823782e-07
